Q_NUMBER,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,IMAGE
1,"Near a pedestrian crossing, when the                         pedestrians are waiting to cross the road,  you should",Sound horn and proceed,"Slow down, sound horn and pass",Stop the vehicle and wait till the pedestrians          cross the road and then proceed,None of above.,3,
2,The following sign represents..,Stop,No parking,Hospital ahead,Give Way,1,
3,"You are approaching a narrow bridge,  another    vehicle is about to enter the bridge from opposite side you should",Increase the speed and try to cross the bridge as  fast as  possible,Put on the head light and pass the bridge,Wait till the other vehicle crosses the bridge and  then proceed,,3,
4,The following sign represents..,Keep left,There is no road to the left,Compulsory turn left,"Compulsory turn 
right",3,
5,When a vehicle is involved in an accident causinginjury to any person,Take the vehicle to the nearest police station and report the accident,Stop the vehicle and report to the police  station,Take all reasonable steps to secure medical           attention to the injured and report to the nearestpolice station within 24 hours,,3,
6,The following sign represents...,Give way,Hospital ahead,Traffic island ahead,Stop,1,
7,On a road designated as one way,Parking is prohibited,Overtaking is prohibited,Should not drive in reverse gear,,3,
8,The following sign  represents..,No entry,One way,Speed limit ends,None of above.,2,
9,You can overtake a vehicle in front,Through the right side of that vehicle,Through the left side,"Through the any
side of that
vehicle.","Not from any 
side of that
vehicle.",1,
10,The following sign represents..,Right turn prohibited,Sharp curve to the right,U-turn prohibited,Overtaking prohibited,3,
11,"When a vehicle approaches an unguarded              railway level crossing, before crossing it, the          driver shall","Stop the vehicle on the left side of the road,   get down from the vehicle, go to the railway track, and ensure that no train or trolley is coming          from either side",Sound horn and cross the track as fast as  possible,Wait till the train passes,None of above.,1,
12,The following sign represents..,Pedestrian crossing,Pedestrians may enter,Pedestrians prohibited,School Ahead,1,
13,How can you distinguish a transport vehicle.,By looking at the tyre size.,By colour of the vehicle.,By looking at the number plate of the vehicle.,,3,
14,The following sign represents..,Keep right side,Parking on the right allowed,Compulsory turn to right,,2,
15,Validity of learners licence,Till the driving licence is obtained,"Upto 6 months
from the date
of issue of
Leaners
License","Upto 30 days 2
from the date of
issue of Leaners
License","Upto 120 days
from the date of
issue of
Leaners
License",2,
16,The following sign represents..,U- Turn prohibited,Right turn prohibited,Overtaking through left prohibited,"Left
Turn
Prohibited",2,
17,"In a road without footpath, the pedestrians",Should walk on the left side of the road,Should walk on the right side of the road,May walk on either side of the road,,2,
18,The following sign represents..,Horn prohibited,Compulsory sound horn,May sound horn,Hospital Ahead,1,
19,Free passage should be given to the following         types of vehicles,Police vehicles.,Ambulance and fire service vehicles,"Express, Super Express buses",,2,
20,The following sign represents..,Roads on both sides in front,Narrow bridge ahead,Narrow road ahead,Restriction Ends,2,
21,Vehicles proceeding from opposite direction          should be allowed to pass through ….,Your right side,Your left side,The convenient side,,1,
